bng_x,bng_y,class,conf,votes,status,nearest_dist_m
224703.20594490075,582104.4743678689,smallcairn,0.32753092646598814,5,novel,7221.9
224937.93034058297,582040.6250883491,smallcairn,0.2927232176065445,5,novel,6978.9
223026.24803257541,581814.3053921886,smallcairn,0.36283035576343536,6,novel,6732.1
224344.05071422458,581786.1085491752,smallcairn,0.27690992057323455,5,novel,7201.0
222274.04743794294,581269.5953261049,smallcairn,0.5172278632720312,6,novel,6018.5
223195.15109775984,580667.5216325811,smallcairn,0.3541196808218956,6,novel,5705.5
224510.5692746131,580781.4993043959,roundhouse,0.22770505845546724,5,novel,6568.9
225902.1078352309,580879.1559474554,shieling,0.2604248136281967,5,novel,6050.6
226725.0173539405,580809.9798293138,roundhouse,0.39574286341667175,5,novel,6624.7
221844.8761255672,585802.2689930251,roundhouse,0.4498135089874268,5,novel,11337.3
223506.34736432653,584180.7167680943,smallcairn,0.30653171241283417,5,novel,9133.1
222535.27539679693,582029.956243969,shieling,0.3265589982271194,5,novel,7459.8
223593.00000966675,582192.0712018353,shieling,0.35678050518035886,5,novel,7367.1
225462.83664307997,581540.8148800383,smallcairn,0.2869820684194565,5,novel,6335.4
222270.4407391124,581321.0413976915,smallcairn,0.2944786727428436,5,novel,6068.2
222624.60685159228,581019.856373807,shieling,0.28997905254364015,5,novel,6474.6
224750.31855518618,582521.8552038354,shieling,0.37477804720401764,5,novel,7595.1
221208.77541165106,588078.1622056734,roundhouse,0.37144920229911804,5,novel,13402.4
220121.03762870617,584996.0656271738,roundhouse,0.3684140720537731,7,novel,10181.7
223558.5414659427,581834.0866413312,roundhouse,0.43520091261182514,7,novel,7795.8
223725.39682301378,592464.7390401349,shieling,0.4364233762025833,6,novel,15688.1
222743.99790907855,599984.9313622954,roundhouse,0.29411127865314485,5,novel,22695.6
224297.05996094542,599781.4614403666,shieling,0.4934332455907549,7,novel,19274.7
224263.06628125347,599793.1069323535,shieling,0.5411855056881905,8,novel,19307.9
224242.82596373622,599793.5888017317,shieling,0.45937003940343857,8,novel,19323.3
224252.56793242463,599774.4426878626,shieling,0.28143084049224854,7,novel,19303.3
224366.40276208584,599828.3870797519,smallcairn,0.22685082505146661,6,novel,18533.1
224286.7859779343,599317.5812317325,roundhouse,0.40018698759377,8,novel,21402.2
224285.48134807742,599255.6921138362,roundhouse,0.33829928636550904,5,novel,21346.9
221602.5683056271,598550.5280057429,shieling,0.5504451487213373,8,novel,20644.9
221558.47892660217,598454.1065229883,shieling,0.23003119528293609,5,novel,20627.4
222168.00590247003,598289.6324803503,roundhouse,0.3944928228855133,5,novel,21515.7
221390.2238662039,597493.4531190798,shieling,0.33875635514656705,6,novel,20250.9
221815.26383544068,597497.2149503307,shieling,0.3137499416867892,6,novel,19891.3
229316.5182934856,597557.7835241167,shieling,0.41515490625585827,7,novel,14149.2
220252.5753547366,596837.2904118184,smallcairn,0.2496774673461914,5,novel,18746.0
229701.24817561664,596978.5166525707,smallcairn,0.19571722547213236,6,novel,13731.4
220361.72267221028,596543.1207224918,smallcairn,0.3896477460861206,5,novel,18464.2
220631.46730054644,596520.2907340105,smallcairn,0.2885614484548569,5,novel,18253.1
220461.46203675657,596569.3430836027,shieling,0.5535422638058662,8,novel,20602.1
220691.6420785825,596511.4168912111,shieling,0.2617070943117142,5,novel,20371.6
229246.9686741805,596539.8470014227,roundhouse,0.32473877498081755,7,novel,17073.7
220199.3355312548,596186.3268126987,shieling,0.5720198111874717,7,novel,20660.2
220184.04047806002,596180.6675177749,shieling,0.3595586508512497,5,novel,20671.4
227382.51622529837,595914.1014365464,roundhouse,0.5168227979115078,7,novel,17049.4
227769.09614886058,595820.5388826766,shieling,0.5529851149767637,8,novel,14061.8
227992.00105580443,595831.7227688235,shieling,0.39631698387009756,7,novel,13896.7
228451.59014135794,595923.923957777,roundhouse,0.39535290002822876,7,novel,16705.0
229961.31672288684,595515.0390374167,roundhouse,0.4226523399353027,5,novel,15900.4
229453.7024880542,594895.3279786109,smallcairn,0.4244688153266907,7,novel,11847.4
225856.8626919591,594518.1513603269,shieling,0.20410168170928955,5,novel,14889.9
225131.1104426119,594389.3525277877,roundhouse,0.31707717052527834,7,novel,16646.1
225367.34658767754,594468.7913955775,roundhouse,0.5354597823960441,7,novel,16597.8
225447.04363326824,594508.5578414913,roundhouse,0.4168791281325476,7,novel,16593.6
226129.96905388925,594265.965982525,shieling,0.35662952810525894,8,novel,14526.8
