CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
23011,"LISMORE, DRUIM AN UINNSINN",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 82406 39588,182406.0,739588.0,https://canmore.org.uk/site/23011/,cairn
23013,"LISMORE, DRUIM AN UINSINN","CAIRN (LATER PREHISTORIC)(POSSIBLE), KILN (POST MEDIEVAL)",ARGYLL,NM 82214 39340,182214.0,739340.0,https://canmore.org.uk/site/23013/,cairn
22542,CAISTEAL NAN COIN DUBH,"CAIRN (BRONZE AGE), CIST (BRONZE AGE)",ARGYLL,NM 7979 0762,179790.0,707620.0,https://canmore.org.uk/site/22542/,cairn
22543,CAISTEAL NAN COIN DUBH,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 798 075,179800.0,707500.0,https://canmore.org.uk/site/22543/,shieling
22547,"SHUNA, SHUNA COTTAGE",CHAMBERED CAIRN (NEOLITHIC),ARGYLL,NM 76110 07578,176110.0,707578.0,https://canmore.org.uk/site/22547/,cairn
22548,"SHUNA, SHUNA COTTAGE",BURIAL CAIRN (PREHISTORIC),ARGYLL,NM 76080 07593,176080.0,707593.0,https://canmore.org.uk/site/22548/,cairn
22549,GEMMIL,"CAIRN (BRONZE AGE)(POSSIBLE), CIST (BRONZE AGE), BEAD(S) (JET)(BRONZE AGE), FOOD VESSEL URN (BRONZE AGE)",ARGYLL,NM 7879 0555,178790.0,705550.0,https://canmore.org.uk/site/22549/,cairn
22557,"SCARBA, KILMORY LODGE","BURIAL CAIRN (BRONZE AGE), CIST(S) (BRONZE AGE)",ARGYLL,NM 71534 05897,171534.0,705897.0,https://canmore.org.uk/site/22557/,cairn
22408,"MULL, ACHADH LUIRGINN",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 6355 3691,163550.0,736910.0,https://canmore.org.uk/site/22408/,shieling
22411,"ABHAINN AN T-SRATHA BHAIN, MULL",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 6445 3575,164450.0,735750.0,https://canmore.org.uk/site/22411/,shieling
23164,ARDCHONNELL,CHAMBERED CAIRN (NEOLITHIC),ARGYLL,NM 99330 12763,199330.0,712763.0,https://canmore.org.uk/site/23164/,cairn
23177,CORR ACHADH,CAIRN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,NM 993 293,199300.0,729300.0,https://canmore.org.uk/site/23177/,cairn
23179,DUNTANACHAN,CAIRN (LATER PREHISTORIC),ARGYLL,NM 96684 28228,196684.0,728228.0,https://canmore.org.uk/site/23179/,cairn
23593,DUISKY,CAIRN (PERIOD UNASSIGNED),ARGYLL,NN 013 771,201300.0,777100.0,https://canmore.org.uk/site/23593/,cairn
23598,ARDNO,"CAIRN (PERIOD UNASSIGNED), CIST (PERIOD UNASSIGNED)",ARGYLL,NN 1568 0808,215680.0,708080.0,https://canmore.org.uk/site/23598/,cairn
22295,"CRANNICH, MULL",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 5025 4363,150250.0,743630.0,https://canmore.org.uk/site/22295/,shieling
